week,date,winner,loser,point_diff,year
2,2015-09-12,Memphis,Kansas,32,2015
2,2015-09-12,Michigan,Oregon State,28,2015
2,2015-09-12,Michigan State,Oregon,3,2015
2,2015-09-12,Minnesota,Colorado State,3,2015
2,2015-09-12,Mississippi,Fresno State,52,2015
2,2015-09-12,Missouri,Arkansas State,7,2015
2,2015-09-12,Nebraska,South Alabama,39,2015
2,2015-09-12,North Carolina,North Carolina A&T,39,2015
2,2015-09-12,North Carolina State,Eastern Kentucky,35,2015
2,2015-09-12,Northern Illinois,Murray State,31,2015
2,2015-09-12,Northwestern,Eastern Illinois,41,2015
2,2015-09-12,Notre Dame,Virginia,7,2015
2,2015-09-12,Ohio,Marshall,11,2015
2,2015-09-12,Ohio State,Hawaii,38,2015
2,2015-09-12,Oklahoma,Tennessee,7,2015
2,2015-09-12,Oklahoma State,Central Arkansas,24,2015
2,2015-09-12,Old Dominion,Norfolk State,14,2015
2,2015-09-12,Penn State,Buffalo,13,2015
2,2015-09-12,Pittsburgh,Akron,17,2015
2,2015-09-12,Purdue,Indiana State,24,2015
2,2015-09-12,Southern California,Idaho,50,2015
2,2015-09-12,Southern Methodist,North Texas,18,2015
2,2015-09-12,Southern Mississippi,Austin Peay,46,2015
2,2015-09-12,Stanford,Central Florida,24,2015
2,2015-09-12,Syracuse,Wake Forest,13,2015
2,2015-09-12,Temple,Cincinnati,8,2015
2,2015-09-12,Texas,Rice,14,2015
2,2015-09-12,Texas A&M,Ball State,33,2015
2,2015-09-12,Texas Christian,Stephen F. Austin,63,2015
2,2015-09-12,Texas State,Prairie View A&M,39,2015
2,2015-09-12,Texas Tech,Texas-El Paso,49,2015
2,2015-09-12,Toledo,Arkansas,4,2015
2,2015-09-12,Troy,Charleston Southern,28,2015
2,2015-09-12,Tulsa,New Mexico,19,2015
2,2015-09-12,UCLA,Nevada-Las Vegas,34,2015
2,2015-09-12,Virginia Tech,Furman,39,2015
2,2015-09-12,Washington,Sacramento State,49,2015
2,2015-09-12,Washington State,Rutgers,3,2015
2,2015-09-12,West Virginia,Liberty,24,2015
2,2015-09-12,Wisconsin,Miami,58,2015
3,2015-09-17,Clemson,Louisville,3,2015
3,2015-09-18,Arizona State,New Mexico,24,2015
3,2015-09-18,Boise State,Idaho State,52,2015
3,2015-09-18,Florida State,Boston College,14,2015
3,2015-09-19,Akron,Savannah State,43,2015
3,2015-09-19,Arizona,Northern Arizona,64,2015
3,2015-09-19,Arkansas State,Missouri State,63,2015
3,2015-09-19,Ball State,Eastern Michigan,11,2015
3,2015-09-19,Buffalo,Florida Atlantic,18,2015
3,2015-09-19,California,Texas,1,2015
3,2015-09-19,Cincinnati,Miami,4,2015
3,2015-09-19,Colorado,Colorado State,3,2015
3,2015-09-19,Florida,Kentucky,5,2015
3,2015-09-19,Florida International,North Carolina Central,25,2015
3,2015-09-19,Furman,Central Florida,1,2015
3,2015-09-19,Georgia,South Carolina,32,2015
3,2015-09-19,Georgia Southern,Citadel,35,2015
3,2015-09-19,Hawaii,California-Davis,20,2015
3,2015-09-19,Idaho,Wofford,3,2015
3,2015-09-19,Indiana,Western Kentucky,3,2015
3,2015-09-19,Iowa,Pittsburgh,3,2015
3,2015-09-19,Kansas State,Louisiana Tech,6,2015
3,2015-09-19,Louisiana State,Auburn,24,2015
3,2015-09-19,Marshall,Norfolk State,38,2015
3,2015-09-19,Maryland,South Florida,18,2015
3,2015-09-19,Memphis,Bowling Green,3,2015
3,2015-09-19,Miami,Nebraska,3,2015
3,2015-09-19,Michigan,Nevada-Las Vegas,21,2015
3,2015-09-19,Michigan State,Air Force,14,2015
3,2015-09-19,Middle Tennessee State,Charlotte,59,2015
3,2015-09-19,Minnesota,Kent State,3,2015
3,2015-09-19,Mississippi,Alabama,6,2015
3,2015-09-19,Mississippi State,Northwestern State,49,2015
3,2015-09-19,Missouri,Connecticut,3,2015
3,2015-09-19,Navy,East Carolina,24,2015
3,2015-09-19,North Carolina,Illinois,34,2015
3,2015-09-19,North Carolina State,Old Dominion,24,2015
3,2015-09-19,Northwestern,Duke,9,2015
3,2015-09-19,Notre Dame,Georgia Tech,8,2015
3,2015-09-19,Ohio,Southeastern Louisiana,21,2015
3,2015-09-19,Ohio State,Northern Illinois,7,2015
3,2015-09-19,Oklahoma,Tulsa,14,2015
3,2015-09-19,Oklahoma State,Texas-San Antonio,55,2015
3,2015-09-19,Oregon,Georgia State,33,2015
3,2015-09-19,Oregon State,San Jose State,14,2015
3,2015-09-19,Penn State,Rutgers,25,2015
3,2015-09-19,Rice,North Texas,14,2015
3,2015-09-19,South Alabama,San Diego State,7,2015
3,2015-09-19,Southern Mississippi,Texas State,6,2015
3,2015-09-19,Stanford,Southern California,10,2015
3,2015-09-19,Syracuse,Central Michigan,3,2015
3,2015-09-19,Temple,Massachusetts,2,2015
3,2015-09-19,Tennessee,Western Carolina,45,2015
3,2015-09-19,Texas A&M,Nevada,17,2015
3,2015-09-19,Texas Christian,Southern Methodist,19,2015
3,2015-09-19,Texas Tech,Arkansas,11,2015
3,2015-09-19,Texas-El Paso,New Mexico State,3,2015
3,2015-09-19,Toledo,Iowa State,7,2015
3,2015-09-19,Tulane,Maine,31,2015
3,2015-09-19,UCLA,Brigham Young,1,2015
3,2015-09-19,Utah,Fresno State,21,2015
3,2015-09-19,Vanderbilt,Austin Peay,40,2015
3,2015-09-19,Virginia,William & Mary,6,2015
3,2015-09-19,Virginia Tech,Purdue,27,2015
3,2015-09-19,Wake Forest,Army,3,2015
3,2015-09-19,Washington,Utah State,14,2015
3,2015-09-19,Washington State,Wyoming,17,2015
3,2015-09-19,Western Michigan,Murray State,32,2015
3,2015-09-19,Wisconsin,Troy,25,2015
4,2015-09-24,Memphis,Cincinnati,7,2015
4,2015-09-25,Boise State,Virginia,42,2015
4,2015-09-25,Stanford,Oregon State,18,2015
4,2015-09-26,Akron,Louisiana,21,2015
4,2015-09-26,Alabama,Louisiana-Monroe,34,2015
4,2015-09-26,Appalachian State,Old Dominion,49,2015
4,2015-09-26,Army,Eastern Michigan,22,2015
4,2015-09-26,Baylor,Rice,53,2015
4,2015-09-26,Boston College,Northern Illinois,3,2015
4,2015-09-26,Bowling Green,Purdue,7,2015
4,2015-09-26,California,Washington,6,2015
4,2015-09-26,Colorado,Nicholls State,48,2015
4,2015-09-26,Colorado State,Texas-San Antonio,2,2015
4,2015-09-26,Duke,Georgia Tech,14,2015
4,2015-09-26,East Carolina,Virginia Tech,7,2015
4,2015-09-26,Florida,Tennessee,1,2015
4,2015-09-26,Florida Atlantic,Charlotte,10,2015
4,2015-09-26,Georgia,Southern,42,2015
4,2015-09-26,Georgia Southern,Idaho,24,2015
4,2015-09-26,Houston,Texas State,45,2015
4,2015-09-26,Illinois,Middle Tennessee State,2,2015
4,2015-09-26,Indiana,Wake Forest,7,2015
4,2015-09-26,Iowa,North Texas,46,2015
4,2015-09-26,James Madison,Southern Methodist,3,2015
4,2015-09-26,Kentucky,Missouri,8,2015
4,2015-09-26,Louisiana State,Syracuse,10,2015
4,2015-09-26,Louisiana Tech,Florida International,10,2015
4,2015-09-26,Louisville,Samford,42,2015
4,2015-09-26,Marshall,Kent State,7,2015
4,2015-09-26,Michigan,Brigham Young,31,2015
4,2015-09-26,Michigan State,Central Michigan,20,2015
4,2015-09-26,Minnesota,Ohio,3,2015
4,2015-09-26,Mississippi,Vanderbilt,11,2015
4,2015-09-26,Mississippi State,Auburn,8,2015
4,2015-09-26,Navy,Connecticut,10,2015
4,2015-09-26,Nebraska,Southern Mississippi,8,2015
4,2015-09-26,Nevada,Buffalo,3,2015
4,2015-09-26,Nevada-Las Vegas,Idaho State,72,2015
4,2015-09-26,New Mexico,Wyoming,10,2015
4,2015-09-26,North Carolina,Delaware,27,2015
4,2015-09-26,North Carolina State,South Alabama,50,2015
4,2015-09-26,Northwestern,Ball State,5,2015
4,2015-09-26,Notre Dame,Massachusetts,35,2015
4,2015-09-26,Ohio State,Western Michigan,26,2015
4,2015-09-26,Oklahoma State,Texas,3,2015
4,2015-09-26,Penn State,San Diego State,16,2015
4,2015-09-26,Rutgers,Kansas,13,2015
4,2015-09-26,San Jose State,Fresno State,26,2015
4,2015-09-26,South Carolina,Central Florida,17,2015
4,2015-09-26,Southern California,Arizona State,28,2015
4,2015-09-26,Texas A&M,Arkansas,7,2015
4,2015-09-26,Texas Christian,Texas Tech,3,2015
4,2015-09-26,Texas-El Paso,Incarnate Word,10,2015
4,2015-09-26,Toledo,Arkansas State,30,2015
4,2015-09-26,UCLA,Arizona,26,2015
4,2015-09-26,Utah,Oregon,42,2015
4,2015-09-26,West Virginia,Maryland,39,2015
4,2015-09-26,Western Kentucky,Miami,42,2015
4,2015-09-26,Wisconsin,Hawaii,28,2015
5,2015-10-01,Cincinnati,Miami,11,2015
5,2015-10-02,Brigham Young,Connecticut,17,2015
5,2015-10-02,Memphis,South Florida,7,2015
5,2015-10-02,Temple,Charlotte,34,2015
5,2015-10-03,Alabama,Georgia,28,2015
5,2015-10-03,Appalachian State,Wyoming,18,2015
5,2015-10-03,Arizona State,UCLA,15,2015
5,2015-10-03,Arkansas,Tennessee,4,2015
5,2015-10-03,Arkansas State,Idaho,14,2015
5,2015-10-03,Auburn,San Jose State,14,2015
5,2015-10-03,Baylor,Texas Tech,28,2015
5,2015-10-03,Boise State,Hawaii,55,2015
5,2015-10-03,Bowling Green,Buffalo,6,2015
5,2015-10-03,California,Washington State,6,2015
5,2015-10-03,Central Michigan,Northern Illinois,10,2015
5,2015-10-03,Clemson,Notre Dame,2,2015
5,2015-10-03,Duke,Boston College,2,2015
5,2015-10-03,East Carolina,Southern Methodist,26,2015
5,2015-10-03,Florida,Mississippi,28,2015
5,2015-10-03,Florida State,Wake Forest,8,2015
5,2015-10-03,Georgia Southern,Louisiana-Monroe,20,2015
5,2015-10-03,Houston,Tulsa,14,2015
5,2015-10-03,Illinois,Nebraska,1,2015
5,2015-10-03,Iowa,Wisconsin,4,2015
5,2015-10-03,Iowa State,Kansas,25,2015
5,2015-10-03,Kent State,Miami,6,2015
5,2015-10-03,Kentucky,Eastern Kentucky,7,2015
5,2015-10-03,Liberty,Georgia State,8,2015
5,2015-10-03,Louisiana State,Eastern Michigan,22,2015
5,2015-10-03,Louisiana Tech,Louisiana,29,2015
5,2015-10-03,Louisville,North Carolina State,7,2015
5,2015-10-03,Marshall,Old Dominion,20,2015
5,2015-10-03,Massachusetts,Florida International,10,2015
5,2015-10-03,Michigan,Maryland,28,2015
5,2015-10-03,Michigan State,Purdue,3,2015
5,2015-10-03,Missouri,South Carolina,14,2015
5,2015-10-03,Navy,Air Force,22,2015
5,2015-10-03,Nevada-Las Vegas,Nevada,6,2015
5,2015-10-03,New Mexico,New Mexico State,9,2015
5,2015-10-03,North Carolina,Georgia Tech,7,2015
5,2015-10-03,Northwestern,Minnesota,27,2015
5,2015-10-03,Ohio,Akron,2,2015
5,2015-10-03,Ohio State,Indiana,7,2015
5,2015-10-03,Oklahoma,West Virginia,20,2015
5,2015-10-03,Oklahoma State,Kansas State,2,2015
5,2015-10-03,Oregon,Colorado,17,2015
5,2015-10-03,Penn State,Army,6,2015
5,2015-10-03,Pittsburgh,Virginia Tech,4,2015
5,2015-10-03,San Diego State,Fresno State,14,2015
5,2015-10-03,South Alabama,Troy,6,2015
5,2015-10-03,Southern Mississippi,North Texas,35,2015
5,2015-10-03,Stanford,Arizona,38,2015
5,2015-10-03,Texas A&M,Mississippi State,13,2015
5,2015-10-03,Texas Christian,Texas,43,2015
5,2015-10-03,Texas-San Antonio,Texas-El Paso,19,2015
5,2015-10-03,Toledo,Ball State,14,2015
5,2015-10-03,Tulane,Central Florida,14,2015
5,2015-10-03,Utah State,Colorado State,15,2015
5,2015-10-03,Vanderbilt,Middle Tennessee State,4,2015
5,2015-10-03,Western Kentucky,Rice,39,2015
6,2015-10-08,Houston,Southern Methodist,21,2015
6,2015-10-08,Washington,Southern California,5,2015
6,2015-10-09,Marshall,Southern Mississippi,21,2015
6,2015-10-09,Virginia Tech,North Carolina State,15,2015
6,2015-10-10,Air Force,Wyoming,14,2015
6,2015-10-10,Akron,Eastern Michigan,26,2015
6,2015-10-10,Alabama,Arkansas,13,2015
6,2015-10-10,Appalachian State,Georgia State,34,2015
6,2015-10-10,Arizona,Oregon State,37,2015
6,2015-10-10,Arizona State,Colorado,25,2015
6,2015-10-10,Baylor,Kansas,59,2015
6,2015-10-10,Boise State,Colorado State,31,2015
6,2015-10-10,Bowling Green,Massachusetts,24,2015
6,2015-10-10,Brigham Young,East Carolina,7,2015
6,2015-10-10,Clemson,Georgia Tech,19,2015
6,2015-10-10,Connecticut,Central Florida,27,2015
6,2015-10-10,Duke,Army,41,2015
6,2015-10-10,Florida,Missouri,18,2015
6,2015-10-10,Florida International,Texas-El Paso,40,2015
6,2015-10-10,Florida State,Miami,5,2015
6,2015-10-10,Iowa,Illinois,9,2015
6,2015-10-10,Louisiana,Texas State,22,2015
6,2015-10-10,Louisiana State,South Carolina,21,2015
6,2015-10-10,Louisiana Tech,Texas-San Antonio,3,2015
6,2015-10-10,Michigan,Northwestern,38,2015
6,2015-10-10,Michigan State,Rutgers,7,2015
6,2015-10-10,Minnesota,Purdue,28,2015
6,2015-10-10,Mississippi,New Mexico State,49,2015
6,2015-10-10,Mississippi State,Troy,28,2015
6,2015-10-10,Nevada,New Mexico,18,2015
6,2015-10-10,Northern Illinois,Ball State,18,2015
6,2015-10-10,Notre Dame,Navy,17,2015
6,2015-10-10,Ohio,Miami,31,2015
6,2015-10-10,Ohio State,Maryland,21,2015
6,2015-10-10,Oklahoma State,West Virginia,7,2015
6,2015-10-10,Penn State,Indiana,22,2015
6,2015-10-10,Pittsburgh,Virginia,7,2015
6,2015-10-10,Portland State,North Texas,59,2015
6,2015-10-10,Rice,Florida Atlantic,1,2015
6,2015-10-10,San Diego State,Hawaii,14,2015
6,2015-10-10,San Jose State,Nevada-Las Vegas,6,2015
6,2015-10-10,South Florida,Syracuse,21,2015
6,2015-10-10,Temple,Tulane,39,2015
6,2015-10-10,Tennessee,Georgia,7,2015
6,2015-10-10,Texas,Oklahoma,7,2015
6,2015-10-10,Texas Christian,Kansas State,7,2015
6,2015-10-10,Texas Tech,Iowa State,35,2015
6,2015-10-10,Toledo,Kent State,31,2015
6,2015-10-10,Tulsa,Louisiana-Monroe,10,2015
6,2015-10-10,Utah,California,6,2015
6,2015-10-10,Utah State,Fresno State,42,2015
6,2015-10-10,Wake Forest,Boston College,3,2015
6,2015-10-10,Washington State,Oregon,7,2015
6,2015-10-10,Western Kentucky,Middle Tennessee State,30,2015
6,2015-10-10,Western Michigan,Central Michigan,2,2015
6,2015-10-10,Wisconsin,Nebraska,2,2015
7,2015-10-13,Arkansas State,South Alabama,18,2015
7,2015-10-15,Auburn,Kentucky,3,2015
7,2015-10-15,Stanford,UCLA,21,2015
7,2015-10-15,Western Kentucky,North Texas,27,2015
7,2015-10-16,Brigham Young,Cincinnati,14,2015
7,2015-10-16,Fresno State,Nevada-Las Vegas,3,2015
7,2015-10-16,Houston,Tulane,35,2015
7,2015-10-16,Utah State,Boise State,26,2015
7,2015-10-17,Alabama,Texas A&M,18,2015
7,2015-10-17,Appalachian State,Louisiana-Monroe,45,2015
7,2015-10-17,Arizona,Colorado,7,2015
7,2015-10-17,Army,Bucknell,7,2015
7,2015-10-17,Baylor,West Virginia,24,2015
7,2015-10-17,Bowling Green,Akron,49,2015
7,2015-10-17,Central Michigan,Buffalo,37,2015
7,2015-10-17,Clemson,Boston College,17,2015
7,2015-10-17,Colorado State,Air Force,15,2015
7,2015-10-17,East Carolina,Tulsa,13,2015
7,2015-10-17,Florida State,Louisville,20,2015
7,2015-10-17,Georgia,Missouri,3,2015
7,2015-10-17,Georgia Southern,New Mexico State,30,2015
7,2015-10-17,Georgia State,Ball State,12,2015
7,2015-10-17,Idaho,Troy,3,2015
7,2015-10-17,Iowa,Northwestern,30,2015
7,2015-10-17,Kent State,Massachusetts,5,2015
7,2015-10-17,Louisiana State,Florida,7,2015
7,2015-10-17,Marshall,Florida Atlantic,16,2015
7,2015-10-17,Memphis,Mississippi,13,2015
7,2015-10-17,Miami,Virginia Tech,10,2015
7,2015-10-17,Michigan State,Michigan,4,2015
7,2015-10-17,Middle Tennessee State,Florida International,8,2015
7,2015-10-17,Mississippi State,Louisiana Tech,25,2015
7,2015-10-17,Nebraska,Minnesota,23,2015
7,2015-10-17,New Mexico,Hawaii,1,2015
7,2015-10-17,North Carolina,Wake Forest,36,2015
7,2015-10-17,Northern Illinois,Miami,33,2015
7,2015-10-17,Notre Dame,Southern California,10,2015
7,2015-10-17,Ohio State,Penn State,28,2015
7,2015-10-17,Oklahoma,Kansas State,55,2015
7,2015-10-17,Old Dominion,Charlotte,3,2015
7,2015-10-17,Oregon,Washington,6,2015
7,2015-10-17,Pittsburgh,Georgia Tech,3,2015
7,2015-10-17,Rutgers,Indiana,3,2015
7,2015-10-17,San Diego State,San Jose State,23,2015
7,2015-10-17,South Carolina,Vanderbilt,9,2015
7,2015-10-17,South Florida,Connecticut,8,2015
7,2015-10-17,Southern Mississippi,Texas-San Antonio,22,2015
7,2015-10-17,Temple,Central Florida,14,2015
7,2015-10-17,Texas Christian,Iowa State,24,2015
7,2015-10-17,Texas Tech,Kansas,10,2015
7,2015-10-17,Toledo,Eastern Michigan,43,2015
7,2015-10-17,Utah,Arizona State,16,2015
7,2015-10-17,Virginia,Syracuse,6,2015
7,2015-10-17,Washington State,Oregon State,21,2015
7,2015-10-17,Western Michigan,Ohio,35,2015
7,2015-10-17,Wisconsin,Purdue,17,2015
7,2015-10-17,Wyoming,Nevada,7,2015
8,2015-10-20,Arkansas State,Louisiana,10,2015
8,2015-10-22,Appalachian State,Georgia Southern,18,2015
8,2015-10-22,Temple,East Carolina,10,2015
8,2015-10-22,UCLA,California,16,2015
8,2015-10-23,Memphis,Tulsa,24,2015
8,2015-10-23,San Diego State,Utah State,34,2015
8,2015-10-24,Air Force,Fresno State,28,2015
8,2015-10-24,Alabama,Tennessee,5,2015
8,2015-10-24,Arkansas,Auburn,8,2015
8,2015-10-24,Baylor,Iowa State,18,2015
8,2015-10-24,Boise State,Wyoming,20,2015
8,2015-10-24,Bowling Green,Kent State,48,2015
8,2015-10-24,Brigham Young,Wagner,64,2015
8,2015-10-24,Buffalo,Ohio,24,2015
8,2015-10-24,Central Michigan,Ball State,2,2015
8,2015-10-24,Cincinnati,Connecticut,24,2015
8,2015-10-24,Clemson,Miami,58,2015
8,2015-10-24,Colorado,Oregon State,4,2015
8,2015-10-24,Duke,Virginia Tech,2,2015
8,2015-10-24,Florida International,Old Dominion,29,2015
8,2015-10-24,Georgia Tech,Florida State,6,2015
8,2015-10-24,Houston,Central Florida,49,2015
8,2015-10-24,Idaho,Louisiana-Monroe,14,2015
8,2015-10-24,Louisiana State,Western Kentucky,28,2015
8,2015-10-24,Louisiana Tech,Middle Tennessee State,29,2015
8,2015-10-24,Louisville,Boston College,3,2015
8,2015-10-24,Marshall,North Texas,17,2015
8,2015-10-24,Michigan State,Indiana,26,2015
8,2015-10-24,Mississippi,Texas A&M,20,2015
8,2015-10-24,Mississippi State,Kentucky,26,2015
8,2015-10-24,Navy,Tulane,17,2015
8,2015-10-24,Nevada,Hawaii,10,2015
8,2015-10-24,North Carolina,Virginia,13,2015
8,2015-10-24,North Carolina State,Wake Forest,18,2015
8,2015-10-24,Northern Illinois,Eastern Michigan,28,2015
8,2015-10-24,Northwestern,Nebraska,2,2015
8,2015-10-24,Ohio State,Rutgers,42,2015
8,2015-10-24,Oklahoma,Texas Tech,36,2015
8,2015-10-24,Oklahoma State,Kansas,48,2015
8,2015-10-24,Penn State,Maryland,1,2015
8,2015-10-24,Pittsburgh,Syracuse,3,2015
8,2015-10-24,Rice,Army,7,2015
8,2015-10-24,San Jose State,New Mexico,10,2015
8,2015-10-24,South Florida,Southern Methodist,24,2015
8,2015-10-24,Southern California,Utah,18,2015
8,2015-10-24,Southern Mississippi,Charlotte,34,2015
8,2015-10-24,Stanford,Washington,17,2015
8,2015-10-24,Texas,Kansas State,14,2015
8,2015-10-24,Texas State,South Alabama,18,2015
8,2015-10-24,Texas-El Paso,Florida Atlantic,10,2015
8,2015-10-24,Toledo,Massachusetts,16,2015
8,2015-10-24,Troy,New Mexico State,45,2015
8,2015-10-24,Vanderbilt,Missouri,7,2015
8,2015-10-24,Washington State,Arizona,3,2015
8,2015-10-24,Western Michigan,Miami,22,2015
8,2015-10-24,Wisconsin,Illinois,11,2015
9,2015-10-29,Buffalo,Miami,5,2015
9,2015-10-29,Georgia Southern,Texas State,24,2015
9,2015-10-29,North Carolina,Pittsburgh,7,2015
9,2015-10-29,Oregon,Arizona State,6,2015
9,2015-10-29,Texas Christian,West Virginia,30,2015
9,2015-10-29,Western Michigan,Eastern Michigan,30,2015
9,2015-10-30,Connecticut,East Carolina,18,2015
9,2015-10-30,Louisiana Tech,Rice,25,2015
9,2015-10-30,Louisville,Wake Forest,1,2015
9,2015-10-30,Utah State,Wyoming,31,2015
9,2015-10-31,Air Force,Hawaii,51,2015
9,2015-10-31,Appalachian State,Troy,3,2015
9,2015-10-31,Arkansas,Tennessee-Martin,35,2015
9,2015-10-31,Arkansas State,Georgia State,14,2015
9,2015-10-31,Ball State,Massachusetts,10,2015
9,2015-10-31,Boise State,Nevada-Las Vegas,28,2015
